t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
3.706,-0.1035,-0.1582,1.9922,1.9922,6.7852,0.09,43.59,45.59,1
3.724,-0.1230,-0.1445,5.0937,0.7266,12.8711,0.09,43.70,46.35,1
3.744,-0.1191,-0.0449,0.2695,-1.5313,6.0859,0.09,45.31,46.35,1
3.757,-0.0898,0.1367,2.9102,-1.9922,10.0039,0.09,45.86,47.73,1
3.775,-0.0645,-0.0449,3.0664,-0.8828,9.6914,0.09,45.86,47.84,1
3.791,-0.0859,-0.1328,2.1445,-1.3789,8.8437,0.09,48.06,49.86,1
3.808,-0.0859,0.0645,2.1445,0.2305,9.3867,0.09,47.97,50.28,1
3.825,-0.0977,0.0977,4.1367,-1.7617,11.2617,0.09,50.21,52.15,1
3.842,-0.0742,0.0547,1.5313,-0.7656,7.1680,0.09,50.88,52.38,1
3.860,-0.0547,-0.0020,1.7227,-2.2227,8.0078,0.09,52.17,52.38,1
3.876,-0.0742,0.0312,3.9453,-1.2656,12.3359,0.09,53.04,54.97,1
3.897,-0.0527,-0.0742,-0.6914,0.9180,6.2422,0.09,54.90,53.55,1
3.914,-0.0742,0.0898,2.2617,-1.6484,10.3828,0.17,54.90,54.77,1
3.927,-0.1055,-0.2090,3.6406,-0.0391,12.6016,0.17,55.23,57.87,1
3.945,-0.0820,-0.1445,1.7227,-2.1445,8.8437,0.17,56.12,59.93,1
3.961,-0.0664,-0.0547,1.8398,-0.5352,7.2344,0.17,57.63,59.87,1
3.982,-0.0469,-0.1699,5.0547,-2.1445,10.4922,0.17,59.15,62.56,1
3.995,-0.0508,-0.1660,5.0547,-0.3047,12.1445,0.17,58.70,61.46,1
4.012,-0.0488,-0.1895,0.9570,-1.5313,6.3984,0.17,60.18,63.19,1
4.030,-0.0195,-0.2500,3.5234,-1.1875,9.0820,0.17,60.35,64.79,1
4.046,-0.0117,0.1504,6.3594,-1.6484,11.6836,0.17,61.17,65.22,1
4.063,-0.0039,0.2773,4.4805,-0.6914,11.2578,0.17,63.63,66.10,1
4.084,-0.0176,0.2402,5.6680,-0.4609,12.1016,0.17,62.90,64.92,1
4.098,-0.0352,-0.0293,8.0078,-0.9180,14.0977,0.17,64.55,68.09,1
4.115,-0.0488,0.0371,0.6914,-0.8438,3.7930,0.30,62.63,69.30,1
4.132,-0.0020,-0.1797,-3.2578,-1.2656,0.9961,0.30,67.09,65.53,1
4.148,0.0078,0.1152,4.2891,-0.1133,14.6367,0.30,66.36,69.30,1
4.165,0.0098,0.1699,5.0937,-0.2695,12.9883,0.30,68.35,70.54,1
4.182,-0.0176,0.0801,2.5273,-1.4570,10.4961,0.30,67.04,72.88,1
4.200,0.0000,0.0039,-2.7187,-1.8398,2.4141,0.30,70.04,72.96,1
4.216,0.0254,-0.0176,1.2266,-1.4570,6.2461,0.30,73.03,72.98,1
4.233,0.0195,-0.0918,5.9766,-1.6094,13.7109,0.30,71.59,77.21,1
4.252,-0.0059,0.1270,-1.4180,-0.3047,4.4805,0.30,72.70,77.59,1
4.267,0.0625,-0.1992,-1.4180,-0.3047,4.4805,0.30,75.39,78.14,1
4.285,0.0664,-0.2812,6.4727,-1.6836,11.8789,0.30,75.69,79.40,1
4.303,0.0430,-0.2773,6.7031,-1.4922,14.0156,0.61,76.62,79.17,1
4.321,0.0781,-0.1816,0.1914,-1.2656,6.2070,0.61,78.43,79.90,1
4.336,0.0293,0.2617,0.8438,0.3047,7.2031,0.61,76.01,82.28,1
4.353,0.0332,0.2891,7.1641,-0.8438,18.3164,0.61,76.15,81.84,1
4.371,0.0645,0.3887,7.2773,-0.4219,18.8477,0.61,76.09,78.32,1
4.386,0.0723,0.0273,3.0273,-2.0703,11.2617,0.61,79.56,81.01,1
4.403,0.1055,-0.0352,-2.2617,1.5313,3.3320,0.61,84.78,81.31,1
4.420,0.1523,-0.6426,-5.1758,-0.4219,-3.5625,0.61,84.78,84.67,1
